Nikola Jokic,Eric Bledsoe,Shai Gilgeous-Alexander,Kris Dunn,Serge Ibaka,Wendell Carter Jr,Kemba Walker,Marvin Williams,T. J. Warren,Draymond Green,Jonathan Isaac,Robert Covington,Tomas Satoransky
15.1,0.519,4.3,0.865,2.8,0.294,20.3,9.9,7.8,1.6,0.4,3.4
13.3,0.491,2.7,0.8,4.5,0.328,16.7,4.3,5.0,1.3,0.2,2.1
7.9,0.525,1.7,0.808,1.5,0.455,10.3,2.3,2.4,1.0,0.5,1.3
11.8,0.5,2.3,0.762,1.2,0.273,13.9,5.3,5.9,1.4,0.1,2.2
12.8,0.506,2.4,0.931,2.8,0.294,16.1,6.7,1.8,0.3,1.5,1.5
7.9,0.541,2.2,0.677,0.2,0.0,10.1,6.6,1.4,0.4,1.4,1.4
18.6,0.413,4.3,0.804,8.8,0.33,21.8,4.5,5.6,1.5,0.7,2.4
9.7,0.414,1.7,0.85,5.8,0.42,11.8,6.7,1.2,0.8,0.6,0.4
15.8,0.487,3.4,0.794,4.9,0.429,20.2,4.3,1.5,1.1,0.6,1.4
8.8,0.38,1.0,0.889,2.9,0.231,8.2,8.7,5.9,1.8,0.9,2.8
6.9,0.373,2.1,0.92,2.6,0.258,7.8,5.1,1.2,1.0,1.3,1.3
10.8,0.434,3.7,0.773,6.3,0.347,14.3,6.2,1.7,1.9,1.0,1.6
6.4,0.511,1.7,0.75,2.3,0.375,8.7,2.9,3.1,1.6,0.1,2.1
